SourceArea SourceLayer SourceCellType TargetArea TargetLayer TargetCellType Transmitter Pmax sigma Radius Strength MeanDelay VCond
MP L2/3 E(0) MP L2/3 E(0) AMPA 0.05 7.5 12 2 0.4 1 
MP L2/3 E(0) MP L2/3 E(0) NMDA 0.05 7.5 12 2 0.4 1
MP L2/3 E(0) MP L2/3 I(0) AMPA 0.05 7.5 12 2 0.4 1
MP L5 E(0) MP L5 E(0) AMPA 0.025 7.5 12 2 0.4 1 
MP L5 E(0) MP L5 E(0) NMDA 0.025 7.5 12 2 0.4 1 
MP L5 E(0) MP L5 I(0) AMPA 0.025 7.5 12 2 0.4 1 
MP L6 E(0) MP L6 E(0) AMPA 0.025 7.5 9 2 0.4 1
MP L6 E(0) MP L6 I(0) AMPA 0.025 7.5 9 2 0.4 1 
MP L2/3 E(0) MP L5 E(0) AMPA 1 7.5 2 2 1.4 None
MP L2/3 E(0) MP L5 I(0) AMPA 1 7.5 2 2 1.4 None
MP L2/3 E(0) MP L6 E(0) AMPA 1 7.5 2 0.5 1.8 None
MP L2/3 E(0) MP L6 I(0) AMPA 1 7.5 2 0.5 1.8 None
MP L5 E(0) MP L2/3 E(0) AMPA 1 7.5 2 1 1.4 None
MP L5 E(0) MP L2/3 I(0) AMPA 1 7.5 2 1 1.4 None
MP L5 E(0) MP L6 E(0) AMPA 1 7.5 2 1 1.25 None
MP L5 E(0) MP L6 I(0) AMPA 1 7.5 2 1 1.25 None
MP L6 E(0) MP L5 E(0) AMPA 1 7.5 2 0.25 1.85 None
MP L6 E(0) MP L5 I(0) AMPA 1 7.5 2 0.25 1.85 None
MP L2/3 I(0) MP L2/3 E(0) GABAB 0.25 7.5 2 1 4 None
MP L2/3 I(0) MP L5 E(0) GABAB 0.25 7.5 2 1 4 None
MP L2/3 I(0) MP L6 E(0) GABAB 0.25 7.5 2 1 4 None
MP L2/3 I(0) MP L2/3 E(0) GABAA 0.2 7.5 7 2 0.4 0.4
MP L2/3 I(0) MP L2/3 I(0) GABAA 0.2 7.5 7 2 0.4 0.4
MP L2/3 I(0) MP L2/3 E(180) GABAA 0.2 7.5 7 2 0.4 0.4
MP L2/3 I(0) MP L2/3 I(180) GABAA 0.2 7.5 7 2 0.4 0.4
MP L5 I(0) MP L5 E(0) GABAA 0.2 7.5 7 1 0.4 0.4
MP L5 I(0) MP L5 I(0) GABAA 0.2 7.5 7 1 0.4 0.4
MP L5 I(0) MP L5 E(180) GABAA 0.2 7.5 7 1 0.4 0.4
MP L5 I(0) MP L5 I(180) GABAA 0.2 7.5 7 1 0.4 0.4
MP L6 I(0) MP L6 E(0) GABAA 0.2 7.5 7 1 0.4 0.4
MP L6 I(0) MP L6 I(0) GABAA 0.2 7.5 7 1 0.4 0.4
MP L6 I(0) MP L6 E(180) GABAA 0.2 7.5 7 1 0.4 0.4
MP L6 I(0) MP L6 I(180) GABAA 0.2 7.5 7 1 0.4 0.4
SI SI E MP L2/3 E(0) AMPA 0.15 7.5 8 2.5 6 None
SI SI E MP L2/3 E(0) NMDA 0.15 7.5 8 2.5 6 None
SI SI E MP L2/3 I(0) AMPA 0.15 7.5 8 2.5 6 None
SI SI E MP L2/3 E(180) AMPA 0.15 7.5 8 2.5 6 None
SI SI E MP L2/3 E(180) NMDA 0.15 7.5 8 2.5 6 None
SI SI E MP L2/3 I(180) AMPA 0.15 7.5 8 2.5 6 None
PM PM E MP L2/3 E(0) AMPA 0.125 7.5 8 1 6 None
PM PM E MP L2/3 E(0) NMDA 0.125 7.5 8 1 6 None
PM PM E MP L2/3 I(0) AMPA 0.125 7.5 8 1 6 None
PM PM E MP L2/3 E(180) AMPA 0.125 7.5 8 1 6 None
PM PM E MP L2/3 E(180) NMDA 0.125 7.5 8 1 6 None
PM PM E MP L2/3 I(180) AMPA 0.125 7.5 8 1 6 None
PM PM E MP L5 E(0) AMPA 0.25 7.5 8 2.5 6 None
PM PM E MP L5 E(0) NMDA 0.25 7.5 8 2.5 6 None
PM PM E MP L5 I(0) AMPA 0.25 7.5 8 2.5 6 None
PM PM E MP L5 E(180) AMPA 0.25 7.5 8 2.5 6 None
PM PM E MP L5 E(180) NMDA 0.25 7.5 8 2.5 6 None
PM PM E MP L5 I(180) AMPA 0.25 7.5 8 2.5 6 None
MT MT E(0) MP L2/3 E(0) AMPA 0.2 7.5 6 3.25 3 None
MT MT E(0) MP L2/3 I(0) AMPA 0.2 7.5 6 3.25 3 None
MT MT E(0) MP L5 E(0) AMPA 0.2 7.5 6 3 3 None
MT MT E(0) MP L5 I(0) AMPA 0.2 7.5 6 3 3 None
MT MT E(0) MP L6 E(0) AMPA 0.2 7.5 6 0.5 3 None
MT MT E(0) MP L6 I(0) AMPA 0.2 7.5 6 0.5 3 None
MP L6 E(0) MT MT E(0) AMPA 0.1 7.5 7 1 3 None
MP L6 E(0) MT MT I AMPA 0.1 7.5 7 1 3 None
MP L6 E(0) R R I AMPA 0.5 7.5 5 2 2.5 None
MT MT E(0) R R I AMPA 1 7.5 2 2 1 None
MT MT I MT MT E GABAA 0.25 7.5 2 1 1 None
MT MT I MT MT I GABAA 0.25 7.5 2 1 1 None
R R I MT MT E(0) GABAA 0.15 7.5 12 1 1.5 None
R R I MT MT E(0) GABAB 0.05 7.5 12 1 1.5 None
R R I MT MT I GABAA 0.15 7.5 12 1 1.5 None
R R I MT MT I GABAB 0.05 7.5 12 1 1.5 None
R R I R R I GABAA 0.5 7.5 12 1 1.0 None
